"","n","alpha","beta","rho","sigsq_e","sigsq_z","sigsq_w","alpha_hat","SE(alpha_hat)","alpha_rejection","beta_hat","SE(beta_hat)","beta_rejection"
"1",100,0,-2,0.2,0.5,0.5,0.5,0.001642700443226,0.102134404439942,0.075,-1.76460086677652,0.0968792238882287,1
"2",100,0,-2,0.5,0.5,0.5,0.5,0.00333847068010274,0.125778092079255,0.119,-1.49057916310951,0.109492354928043,1
"3",100,0,0,0.2,0.5,0.5,0.5,5.11892160302513e-06,0.0764268190422064,0.049,0.00124161241859861,0.0722051476490377,0.056
"4",100,0,0,0.5,0.5,0.5,0.5,4.41921644665744e-05,0.0762420206250053,0.047,0.00132607660527064,0.0663220747193152,0.053
"5",100,0,2,0.2,0.5,0.5,0.5,-0.00163246260001995,0.101918924749914,0.083,1.76708409161371,0.0969756232606621,1
"6",100,0,2,0.5,0.5,0.5,0.5,-0.00325008635116959,0.125514123077117,0.12,1.49323131632005,0.109083440405878,1
"7",100,0,-2,0.2,2,2,2,0.00228889471244732,0.186450681775964,0.064,-1.42027419592096,0.159400369804085,1
"8",100,0,-2,0.5,2,2,2,0.00371543435481656,0.195701502210938,0.087,-1.23615847960274,0.155757165369708,1
"9",100,0,0,0.2,2,2,2,-3.39745894940313e-05,0.152885166359546,0.048,0.00311091422267212,0.129526565378365,0.063
"10",100,0,0,0.5,2,2,2,4.38044870327959e-05,0.152572937790727,0.048,0.00312597878848741,0.120743577041355,0.062
"11",100,0,2,0.2,2,2,2,-0.00235684389143539,0.186170978377297,0.078,1.42649602436631,0.159805623535443,1
"12",100,0,2,0.5,2,2,2,-0.00362782538075097,0.195311560567245,0.092,1.24241043717971,0.155419508237563,1
